original_id,wiki_id,wiki_name,match_score
801,Q715482,Ibrahim al-Hamdi,0.5
826,Q2925029,Brian Urquhart,0.5
825,Q9161,Josip Broz Tito,0.5
824,Q310839,Adlai Stevenson I,0.5
821,Q164535,Mobutu Sese Seko,0.5
816,Q1444898,John Campbell,0.5
818,Q36562478,Géssica A. Gomes-Costa,0.33333333333333
815,Q1335058,Griffin Bell,0.5
814,Q118725,Hafiz al-Assad,0.5
812,Q4073049,Aziz Ahmed,0.5
838,Q7350118,Robert Strausz-Hupé,0.5
837,Q320103,Souphanouvong,1.0
834,Q23926202,Louis-Victor Lefèvre,0.5
832,Q348901,Poul Hartling,0.5
829,Q38640715,Mohamed A Baky Fahmy,0.5
828,Q377765,Jean-Baptiste Bagaza,0.5
850,Q200850,János Kádár,0.5
856,Q564831,László Fejes Tóth,0.5
855,Q298609,Aristides Pereira,0.5
854,Q374949,Andrew Peacock,0.5
853,Q109130,P. J. Patterson,0.5
852,Q5488498,Frank Montague Moore,0.5
846,Q744098,Lawton Chiles,0.5
849,Q7344173,Robert F. Goheen,0.5
842,Q23505,George H. W. Bush,0.5
844,Q80504,Nicolae Ceaușescu,0.5
848,Q203046,Eric Gairy,0.5
861,Q115909,Carl Meissner,0.5
860,Q475289,Ray Marshall,0.33333333333333
858,Q2915518,Suleiman Frangieh,0.5
857,Q5228376,Dave Bolen,0.5
