id,name,frequency
722,"LIEVANO AGUIRRE, INDALECIO",119
723,"MASTERS, EDWARD E",119
724,"MC MILLAN, DAVID RALPH",119
725,TRAORE,119
726,"VON STADEN, BERNDT",119
730,"HARTMAN, ARTHUR",118
732,"NORDLI, ODVAR",118
731,"NEGROPONTE, JOHN D",118
729,"FORD, BETTY",118
728,"CAMPBELL, STEVE",118
727,BENNETT,118
733,"BYRD, ROBERT",117
734,"FORLANI, ARNALDO",117
735,"JOBERT, MICHEL",117
736,"KUNIK, MARTIN",117
737,"SLACK, JOHN M",117
738,"TANAKA, KAKUEI",117
740,"CAGLAYANGIL, IHSAN SABRI",116
739,"BELLMON, HENRY",116
741,"HUMMEL, ARTHUR W",116
742,"LUNS, JOSEPH",116
743,"MAILLIARD, WILLIAM S",116
744,"SOBER, SIDNEY",116
745,"STOBBE, DIETRICH",116
751,SCHMIDT,115
749,"OLIVER, R SPENCER",115
750,"SADAT, ANWAR EL",115
746,"BIJEDIC, DZEMAL",115
748,NI,115
747,"GOLEMBIEKI, HELEN",115
752,"BUTMAN, HILLEL",114
753,"FAHMI, ISMAIL",114
754,SMITH,114
755,"VOLLBERG, JENNY C",114
756,WALDHEIM,114
761,"SILBERMAN, LAURENCE H",113
763,"STEFANSSON, FINNUR TORFI",113
762,"SOPHUSSON, FRIDRIK",113
759,"LARAKI, AHMED",113
760,"MCDANIEL, JOANN",113
758,"COSGRAVE, LIAM",113
